,Author,Quotes,Likes,Tags
81,Roy T. Bennett,"“Accept yourself, love yourself, and keep moving forward. If you want to fly, you have to give up what weighs you down.”",6624,"['accept-yourself', 'inspiration', 'inspirational', 'inspirational-attitude', 'inspirational-life', 'inspirational-quotes', 'inspire', 'inspiring', 'keep-moving-forward', 'letting-go', 'life', 'life-and-living', 'life-lessons', 'life-quotes', 'living', 'love-yourself', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking']"
82,Arthur C. Clarke,“Two possibilities exist: either we are alone in the Universe or we are not. Both are equally terrifying.”,6607,"['distance', 'life', 'loneliness', 'qotd', 'sense-of-wonder', 'universe']"
83,Woody Allen,"“I don't know the question, but sex is definitely the answer.”",6537,"['humor', 'life', 'sex']"
84,George Carlin,"“Religion has actually convinced people that there's an invisible man living in the sky who watches everything you do, every minute of every day. And the invisible man has a special list of ten things he does not want you to do. And if you do any of these ten things, he has a special place, full of fire and smoke and burning and torture and anguish, where he will send you to live and suffer and burn and choke and scream and cry forever and ever 'til the end of time!",6451,"['atheism', 'humor', 'life', 'religion']"
85,Terry Pratchett,"“It is said that your life flashes before your eyes just before you die. That is true, it's called Life.”",6432,"['death', 'humor', 'life']"
86,Khaled Hosseini,"“It may be unfair, but what happens in a few days, sometimes even a single day, can change the course of a whole lifetime...”",6367,"['fair', 'life']"
87,Douglas Coupland,“Remember: the time you feel lonely is the time you most need to be by yourself. Life's cruelest irony.”,6349,"['irony', 'life', 'loneliness']"
88,Jim Morrison,"“People are afraid of themselves, of their own reality; their feelings most of all. People talk about how great love is, but that’s bullshit. Love hurts. Feelings are disturbing. People are taught that pain is evil and dangerous. How can they deal with love if they’re afraid to feel? Pain is meant to wake us up. People try to hide their pain. But they’re wrong. Pain is something to carry, like a radio. You feel your strength in the experience of pain. It’s all in how you carry it. That’s what matters. Pain is a feeling. Your feelings are a part of you. Your own reality. If you feel ashamed of them, and hide them, you’re letting society destroy your reality. You should stand up for your right to feel your pain.”",6312,"['jim', 'life', 'morrison', 'pain', 'reality']"
89,William Goldman,"“Life is pain, highness. Anyone who says differently is selling something.”",6163,"['life', 'pain']"
90,Roy T. Bennett,“Be mindful. Be grateful. Be positive. Be true. Be kind.”,6716,"['gratitude', 'inspiration', 'inspirational', 'inspirational-quotes', 'kindness', 'life', 'life-and-living', 'life-quotes', 'living-life', 'mindful', 'mindfulness', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking', 'truth']"
91,Roy T. Bennett,“Live the Life of Your Dreams: Be brave enough to live the life of your dreams according to your vision and purpose instead of the expectations and opinions of others.”,6132,"['brave', 'courage', 'dreams', 'inspiration', 'inspirational', 'inspirational-attitude', 'inspirational-life', 'inspirational-quotes', 'inspire', 'inspiring', 'life', 'life-and-living', 'life-lessons', 'life-quotes', 'living', 'motivation', 'motivational', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking', 'purpose', 'vision']"
92,Dale Carnegie,“It isn't what you have or who you are or where you are or what you are doing that makes you happy or unhappy. It is what you think about it.”,6105,"['attitude', 'contentment', 'happiness', 'inspirational', 'life']"
93,Roy T. Bennett,"“Believe in yourself. You are braver than you think, more talented than you know, and capable of more than you imagine.”",6081,"['achievement', 'believe-in-yourself', 'brave', 'courage', 'inspiration', 'inspirational', 'inspirational-attitude', 'inspirational-life', 'inspirational-quotes', 'inspire', 'inspiring', 'life', 'life-and-living', 'life-lessons', 'life-quotes', 'living', 'motivation', 'motivational', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking', 'talent']"
94,Henry Rollins,"“It hurts to let go. Sometimes it seems the harder you try to hold on to something or someone the more it wants to get away. You feel like some kind of criminal for having felt, for having wanted. For having wanted to be wanted. It confuses you, because you think that your feelings were wrong and it makes you feel so small because it's so hard to keep it inside when you let it out and it doesn't coma back. You're left so alone that you can't explain. Damn, there's nothing like that, is there? I've been there and you have too. You're nodding your head.”",5989,"['life', 'love', 'relationships']"
95,Roy T. Bennett,"“Don’t waste your time in anger, regrets, worries, and grudges. Life is too short to be unhappy.”",5910,"['anger', 'grudge', 'happiness', 'happy', 'inspiration', 'inspirational', 'inspirational-quotes', 'inspire', 'inspiring', 'life', 'life-quotes', 'living', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking', 'regret', 'time', 'worry']"
96,Kahlil Gibran,"“If you love somebody, let them go, for if they return, they were always yours. If they don't, they never were.”",5896,"['life', 'love', 'romance']"
97,Roy T. Bennett,"“Don't let the expectations and opinions of other people affect your decisions. It's your life, not theirs. Do what matters most to you; do what makes you feel alive and happy. Don't let the expectations and ideas of others limit who you are. If you let others tell you who you are, you are living their reality — not yours. There is more to life than pleasing people. There is much more to life than following others' prescribed path. There is so much more to life than what you experience right now. You need to decide who you are for yourself. Become a whole being. Adventure.”",5768,"['action', 'adventure', 'authentic-living', 'authentic-self', 'authenticity', 'confidence', 'experience', 'inspiration', 'inspirational', 'inspirational-quotes', 'inspire', 'inspiring', 'life', 'life-quotes', 'living', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking', 'who-you-are', 'whole-being']"
98,Roy T. Bennett,"“It’s only after you’ve stepped outside your comfort zone that you begin to change, grow, and transform.”",5726,"['change', 'focus', 'grow', 'growth', 'inspiration', 'inspirational', 'inspirational-quotes', 'inspire', 'inspiring', 'leader', 'leaders', 'leadership', 'life', 'life-quotes', 'living', 'motivation', 'motivational', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking', 'stay-focused', 'step-out-of-comfort-zone', 'transform']"
