,Author,Quotes,Likes,Tags
2721,Ayn Rand,"“She smiled. She knew she was dying. But it did not matter any longer. She had known something which no human words could ever tell and she knew it now. She had been awaiting it and she felt it, as if it had been, as if she had lived it. Life had been, if only because she had known it could be, and she felt it now as a hymn without sound, deep under the little whole that dripped red drops into the snow, deeper than that from which the red drops came. A moment or an eternity- did it matter? Life, undefeated, existed and could exist. She smiled, her last smile, to so much that had been possible.”",88,"['individualism', 'inspirational', 'life', 'philosophy']"
2722,Leigh Bardugo,“It's the people who never learn the word,87,"['inspirational', 'slytherin-inspiration']"
2723,Paulo Coelho,"“The energy of hatred won't get you anywhere; but the energy of forgiveness, which reveals itself through love, will transform your life in a positive way.”",84,['inspirational']
2724,Paramahansa Yogananda,"“You do not have to struggle to reach God, but you do have to struggle to tear away the self-created veil that hides him from you”",83,['inspirational']
2725,Pittacus Lore,“You kick ass Sam. And don't forget it”,82,"['butts', 'inspirational']"
2726,A.G. Howard,“Sometimes a flame must level a forest to ash before new growth can begin.”,79,['inspirational']
2727,Martin Amis,"“The universe is a million billion light-years wide, and every inch of it would kill you if you went there. This is the position of the universe with regards to human life.”",78,"['humor', 'inspirational', 'satire']"
2728,Katy Perry,“,78,['inspirational']
2729,Amit Ray,“Enjoy the limitless bliss consciousness here and now. The reality of you lies much beyond your sensory perceptions and boundaries.”,60,"['inspirational', 'spiritual-growth']"
2730,Dorothy Day,"“The greatest challenge of the day is: how to bring about a revolution of the heart, a revolution which has to start with each one of us?”",243,"['catholic', 'inspirational', 'revolution']"
2731,Roy T. Bennett,"“Do good, live in the most positive and joyful way possible every day.”",239,"['do-good', 'inspiration', 'inspirational', 'inspirational-attitude', 'inspirational-life', 'inspirational-quotes', 'inspire', 'inspiring', 'joy', 'life', 'life-and-living', 'life-lessons', 'life-quotes', 'living', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking']"
